x,y,attempt,log_attempt,made,missed
420,12,17,1.2304489213782739,8,9
432,12,31,1.4913616938342726,10,21
444,12,49,1.6901960800285136,14,35
456,12,60,1.7781512503836436,17,43
468,12,76,1.8808135922807914,32,44
480,12,87,1.9395192526186185,32,55
492,12,158,2.1986570869544226,63,95
504,12,109,2.037426497940624,44,65
516,12,61,1.7853298350107671,22,39
528,12,10,1.0,1,9
348,24,18,1.255272505103306,8,10
360,24,17,1.2304489213782739,2,15
372,24,27,1.4313637641589874,10,17
384,24,44,1.6434526764861874,11,33
396,24,48,1.6812412373755872,15,33
408,24,78,1.8920946026904804,32,46
420,24,86,1.9344984512435677,34,52
432,24,66,1.8195439355418688,23,43
444,24,78,1.8920946026904804,32,46
456,24,93,1.968482948553935,34,59
468,24,92,1.9637878273455553,33,59
480,24,160,2.2041199826559246,52,108
492,24,166,2.220108088040055,66,100
504,24,140,2.146128035678238,50,90
516,24,71,1.8512583487190752,22,49
324,36,19,1.2787536009528289,6,13
336,36,29,1.462397997898956,6,23
348,36,51,1.7075701760979363,19,32
360,36,61,1.7853298350107671,20,41
372,36,75,1.8750612633917,25,50
384,36,66,1.8195439355418688,23,43
396,36,36,1.5563025007672873,8,28
408,36,32,1.505149978319906,7,25
420,36,18,1.255272505103306,6,12
276,48,20,1.3010299956639813,6,14
300,48,21,1.3222192947339193,7,14
312,48,31,1.4913616938342726,10,21
324,48,44,1.6434526764861874,16,28
336,48,70,1.845098040014257,21,49
348,48,90,1.954242509439325,34,56
360,48,49,1.6901960800285136,12,37
372,48,35,1.5440680443502757,11,24
384,48,10,1.0,4,6
264,60,17,1.2304489213782739,5,12
276,60,14,1.146128035678238,4,10
288,60,22,1.3424226808222062,4,18
300,60,45,1.6532125137753437,12,33
312,60,60,1.7781512503836436,16,44
324,60,91,1.9590413923210936,40,51
336,60,73,1.863322860120456,29,44
348,60,29,1.462397997898956,8,21
240,72,11,1.0413926851582251,0,11
252,72,17,1.2304489213782739,3,14
264,72,22,1.3424226808222062,9,13
276,72,54,1.7323937598229686,15,39
288,72,91,1.9590413923210936,32,59
300,72,84,1.9242792860618816,26,58
312,72,84,1.9242792860618816,29,55
324,72,45,1.6532125137753437,21,24
336,72,16,1.2041199826559248,5,11
228,84,15,1.1760912590556813,6,9
252,84,24,1.380211241711606,9,15
264,84,50,1.6989700043360187,14,36
276,84,69,1.8388490907372552,23,46
288,84,74,1.8692317197309762,26,48
300,84,63,1.7993405494535817,22,41
312,84,40,1.6020599913279623,16,24
216,96,13,1.1139433523068367,8,5
228,96,11,1.0413926851582251,5,6
240,96,25,1.3979400086720377,6,19
252,96,45,1.6532125137753437,16,29
264,96,68,1.8325089127062364,20,48
276,96,79,1.8976270912904414,24,55
288,96,58,1.7634279935629373,24,34
300,96,28,1.4471580313422192,8,20
468,96,12,1.0791812460476249,5,7
480,96,11,1.0413926851582251,2,9
228,108,17,1.2304489213782739,7,10
240,108,44,1.6434526764861874,17,27
252,108,62,1.792391689498254,18,44
264,108,108,2.03342375548695,39,69
276,108,84,1.9242792860618816,21,63
288,108,28,1.4471580313422192,13,15
468,108,11,1.0413926851582251,4,7
480,108,23,1.3617278360175928,12,11
492,108,10,1.0,3,7
204,120,10,1.0,2,8
216,120,21,1.3222192947339193,11,10
228,120,36,1.5563025007672873,9,27
240,120,58,1.7634279935629373,16,42
252,120,88,1.9444826721501687,29,59
264,120,70,1.845098040014257,25,45
276,120,41,1.6127838567197355,12,29
456,120,11,1.0413926851582251,2,9
468,120,19,1.2787536009528289,8,11
480,120,15,1.1760912590556813,3,12
492,120,14,1.146128035678238,7,7
204,132,12,1.0791812460476249,5,7
216,132,32,1.505149978319906,12,20
228,132,56,1.7481880270062005,16,40
240,132,90,1.954242509439325,32,58
252,132,97,1.9867717342662448,33,64
264,132,33,1.5185139398778875,8,25
372,132,10,1.0,3,7
456,132,10,1.0,3,7
468,132,22,1.3424226808222062,3,19
480,132,19,1.2787536009528289,6,13
492,132,19,1.2787536009528289,8,11
204,144,23,1.3617278360175928,8,15
216,144,30,1.4771212547196624,10,20
228,144,66,1.8195439355418688,24,42
240,144,79,1.8976270912904414,23,56
252,144,40,1.6020599913279623,9,31
324,144,10,1.0,4,6
348,144,13,1.1139433523068367,2,11
360,144,10,1.0,3,7
372,144,10,1.0,6,4
396,144,11,1.0413926851582251,3,8
408,144,11,1.0413926851582251,4,7
420,144,12,1.0791812460476249,4,8
480,144,20,1.3010299956639813,4,16
492,144,14,1.146128035678238,7,7
192,156,14,1.146128035678238,3,11
204,156,32,1.505149978319906,5,27
216,156,48,1.6812412373755872,12,36
228,156,83,1.919078092376074,24,59
240,156,59,1.7708520116421442,22,37
252,156,21,1.3222192947339193,6,15
336,156,10,1.0,4,6
348,156,13,1.1139433523068367,5,8
372,156,12,1.0791812460476249,4,8
444,156,13,1.1139433523068367,5,8
456,156,10,1.0,2,8
468,156,14,1.146128035678238,5,9
480,156,12,1.0791812460476249,4,8
492,156,19,1.2787536009528289,10,9
204,168,35,1.5440680443502757,9,26
216,168,73,1.863322860120456,27,46
228,168,71,1.8512583487190752,22,49
240,168,35,1.5440680443502757,14,21
312,168,15,1.1760912590556813,6,9
324,168,11,1.0413926851582251,2,9
336,168,16,1.2041199826559248,8,8
348,168,17,1.2304489213782739,6,11
360,168,11,1.0413926851582251,5,6
372,168,16,1.2041199826559248,6,10
396,168,14,1.146128035678238,5,9
408,168,14,1.146128035678238,7,7
420,168,12,1.0791812460476249,4,8
432,168,16,1.2041199826559248,5,11
444,168,19,1.2787536009528289,3,16
456,168,11,1.0413926851582251,3,8
468,168,15,1.1760912590556813,4,11
480,168,20,1.3010299956639813,7,13
492,168,22,1.3424226808222062,9,13
180,180,10,1.0,5,5
192,180,27,1.4313637641589874,9,18
204,180,45,1.6532125137753437,18,27
216,180,87,1.9395192526186185,25,62
228,180,53,1.724275869600789,14,39
300,180,10,1.0,4,6
324,180,23,1.3617278360175928,7,16
348,180,17,1.2304489213782739,4,13
360,180,16,1.2041199826559248,6,10
384,180,12,1.0791812460476249,5,7
408,180,10,1.0,3,7
420,180,11,1.0413926851582251,2,9
432,180,11,1.0413926851582251,4,7
456,180,14,1.146128035678238,6,8
468,180,25,1.3979400086720377,8,17
480,180,32,1.505149978319906,8,24
492,180,22,1.3424226808222062,12,10
180,192,12,1.0791812460476249,1,11
192,192,30,1.4771212547196624,9,21
204,192,66,1.8195439355418688,19,47
216,192,56,1.7481880270062005,21,35
228,192,33,1.5185139398778875,15,18
324,192,11,1.0413926851582251,2,9
336,192,15,1.1760912590556813,7,8
348,192,14,1.146128035678238,5,9
360,192,15,1.1760912590556813,6,9
372,192,12,1.0791812460476249,7,5
396,192,14,1.146128035678238,6,8
420,192,19,1.2787536009528289,4,15
432,192,16,1.2041199826559248,6,10
444,192,20,1.3010299956639813,4,16
456,192,28,1.4471580313422192,4,24
468,192,28,1.4471580313422192,6,22
480,192,21,1.3222192947339193,10,11
492,192,25,1.3979400086720377,10,15
180,204,13,1.1139433523068367,2,11
192,204,38,1.5797835966168101,14,24
204,204,68,1.8325089127062364,18,50
216,204,59,1.7708520116421442,21,38
228,204,10,1.0,1,9
300,204,10,1.0,6,4
312,204,17,1.2304489213782739,6,11
324,204,12,1.0791812460476249,3,9
336,204,21,1.3222192947339193,6,15
348,204,14,1.146128035678238,5,9
360,204,18,1.255272505103306,5,13
372,204,18,1.255272505103306,7,11
384,204,22,1.3424226808222062,7,15
396,204,11,1.0413926851582251,5,6
408,204,20,1.3010299956639813,6,14
420,204,21,1.3222192947339193,5,16
432,204,24,1.380211241711606,7,17
444,204,23,1.3617278360175928,7,16
456,204,30,1.4771212547196624,7,23
468,204,38,1.5797835966168101,15,23
480,204,24,1.380211241711606,5,19
492,204,36,1.5563025007672873,8,28
168,216,11,1.0413926851582251,5,6
180,216,21,1.3222192947339193,6,15
192,216,44,1.6434526764861874,12,32
204,216,69,1.8388490907372552,31,38
216,216,51,1.7075701760979363,20,31
312,216,16,1.2041199826559248,4,12
336,216,21,1.3222192947339193,5,16
348,216,12,1.0791812460476249,5,7
372,216,14,1.146128035678238,5,9
384,216,15,1.1760912590556813,6,9
396,216,17,1.2304489213782739,7,10
408,216,18,1.255272505103306,4,14
420,216,26,1.414973347970818,4,22
432,216,24,1.380211241711606,10,14
444,216,28,1.4471580313422192,10,18
456,216,36,1.5563025007672873,13,23
468,216,47,1.6720978579357175,20,27
480,216,47,1.6720978579357175,10,37
492,216,28,1.4471580313422192,8,20
180,228,18,1.255272505103306,4,14
192,228,50,1.6989700043360187,15,35
204,228,69,1.8388490907372552,30,39
216,228,24,1.380211241711606,8,16
288,228,10,1.0,4,6
300,228,13,1.1139433523068367,7,6
312,228,28,1.4471580313422192,7,21
324,228,19,1.2787536009528289,9,10
336,228,13,1.1139433523068367,5,8
348,228,11,1.0413926851582251,2,9
372,228,14,1.146128035678238,6,8
384,228,10,1.0,5,5
396,228,11,1.0413926851582251,7,4
408,228,12,1.0791812460476249,6,6
420,228,25,1.3979400086720377,8,17
432,228,20,1.3010299956639813,3,17
444,228,29,1.462397997898956,8,21
456,228,28,1.4471580313422192,9,19
468,228,45,1.6532125137753437,14,31
480,228,27,1.4313637641589874,7,20
492,228,16,1.2041199826559248,7,9
168,240,12,1.0791812460476249,2,10
180,240,27,1.4313637641589874,8,19
192,240,60,1.7781512503836436,16,44
204,240,62,1.792391689498254,27,35
216,240,20,1.3010299956639813,9,11
276,240,14,1.146128035678238,4,10
288,240,11,1.0413926851582251,4,7
300,240,15,1.1760912590556813,4,11
312,240,19,1.2787536009528289,5,14
324,240,11,1.0413926851582251,2,9
336,240,22,1.3424226808222062,8,14
348,240,34,1.5314789170422551,13,21
360,240,15,1.1760912590556813,4,11
372,240,29,1.462397997898956,14,15
384,240,31,1.4913616938342726,14,17
396,240,26,1.414973347970818,11,15
408,240,43,1.6334684555795864,19,24
420,240,41,1.6127838567197355,16,25
432,240,54,1.7323937598229686,15,39
444,240,51,1.7075701760979363,18,33
456,240,53,1.724275869600789,25,28
468,240,61,1.7853298350107671,31,30
480,240,109,2.037426497940624,46,63
492,240,75,1.8750612633917,40,35
168,252,12,1.0791812460476249,4,8
180,252,25,1.3979400086720377,4,21
192,252,64,1.806179973983887,22,42
204,252,65,1.8129133566428555,17,48
216,252,11,1.0413926851582251,6,5
288,252,11,1.0413926851582251,2,9
300,252,10,1.0,4,6
312,252,22,1.3424226808222062,8,14
336,252,12,1.0791812460476249,2,10
348,252,38,1.5797835966168101,17,21
360,252,34,1.5314789170422551,17,17
372,252,52,1.7160033436347992,17,35
